"SQL Editor","Evaluate SQL expression","Ctrl+X Ctrl+E","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.expression"
"Window","Toggle Split Editor (Horizontal)","Ctrl+X 2","In Windows","org.eclipse.ui.window.splitEditor"
"Text Editing","Text End","Ctrl+End","Editing Text","org.eclipse.ui.edit.text.goto.textEnd"
"Result Set","Toggle Grid/Record view","Tab","Results viewer context","org.jkiss.dbeaver.core.resultset.toggleMode"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text","org.eclipse.ui.edit.text.deletePreviousWord"
"File","Close","Ctrl+X K","In Windows","org.eclipse.ui.file.close"
"Text Editing","Text Start","Alt+<","Editing Text","org.eclipse.ui.edit.text.goto.textStart"
"File","Refresh","F5","In Windows","org.eclipse.ui.file.refresh"
"Result Set","Set to default","Ctrl+Backspace","Results viewer context","org.jkiss.dbeaver.core.resultset.cell.setDefault"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text","org.eclipse.ui.edit.text.select.wordPrevious"
"Result Set","Edit cell","Shift+Enter","Results viewer context","org.jkiss.dbeaver.core.resultset.row.edit"
"Text Editing","Text End","Shift+Alt+>","Editing Text","org.eclipse.ui.edit.text.goto.textEnd"
"SQL Editor","Execute SQL Statement","Ctrl+Enter","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.statement"
"Edit","Word Completion","Alt+/","Editing Text","org.eclipse.ui.edit.text.hippieCompletion"
"Edit","Find Next","F3","In Windows","org.eclipse.ui.edit.findNext"
"Edit","Copy","Ctrl+C","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Text Editing","Select Line Start","Shift+Home","Editing Text","org.eclipse.ui.edit.text.select.lineStart"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text","org.eclipse.ui.edit.text.folding.collapse"
"Text Editing","Next Word","Ctrl+Right","Editing Text","org.eclipse.ui.edit.text.goto.wordNext"
"SQL Editor","Toggle Block Comment","Shift+Ctrl+/","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.comment.multi"
"Window","Toggle Full Screen","F11","In Dialogs and Windows","org.eclipse.ui.window.fullscreenmode"
"Edit","Incremental Find Reverse","Ctrl+R","Editing Text","org.eclipse.ui.edit.findIncrementalReverse"
"Text Editing","Move Lines Down","Alt+Down","Editing Text","org.eclipse.ui.edit.text.moveLineDown"
"Edit","Copy","Alt+W","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"File","Close","Ctrl+F4","In Windows","org.eclipse.ui.file.close"
"Text Editing","Page Up","Alt+V","Editing Text","org.eclipse.ui.edit.text.goto.pageUp"
"Text Editing","Delete Line","Ctrl+K","Editing Text","org.eclipse.ui.edit.text.delete.line"
"Text Editing","To Lower Case","Ctrl+L L","Editing Text","org.eclipse.ui.edit.text.lowerCase"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text","org.eclipse.ui.edit.text.scroll.lineUp"
"Search","Find Text in Workspace","Shift+Ctrl+F","In Windows","org.eclipse.search.ui.performTextSearchWorkspace"
"View","Zoom In","Ctrl+=","In Windows","org.eclipse.gef3.zoom_in"
"Text Editing","Page Down","Ctrl+V","Editing Text","org.eclipse.ui.edit.text.goto.pageDown"
"Text Editing","Next Word","Alt+F","Editing Text","org.eclipse.ui.edit.text.goto.wordNext"
"View","Toggle hand tool","Tab","In Windows","org.jkiss.dbeaver.erd.toggleHand"
"Edit","Redo","Shift+Ctrl+/","In Windows","org.eclipse.ui.edit.redo"
"File","Save","Ctrl+X Ctrl+S","In Windows","org.eclipse.ui.file.save"
"Text Editing","Zoom In","Ctrl++","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Text Editing","Text End","Alt+>","Editing Text","org.eclipse.ui.edit.text.goto.textEnd"
"Navigate","Backward History","Alt+Left","In Windows","org.eclipse.ui.navigate.backwardHistory"
"Text Editing","Text Start","Ctrl+Home","Editing Text","org.eclipse.ui.edit.text.goto.textStart"
"Edit","Select All","Ctrl+X H","In Dialogs and Windows","org.eclipse.ui.edit.selectAll"
"File","Close All","Ctrl+X Ctrl+C","In Windows","org.eclipse.ui.file.closeAll"
"Text Editing","Cut to Beginning of Line","Ctrl+X Backspace","Editing Text","org.eclipse.ui.edit.text.cut.line.to.beginning"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text","org.eclipse.ui.edit.text.select.wordNext"
"Text Editing","Delete Next Word","Alt+Delete","Editing Text","org.eclipse.ui.edit.text.deleteNextWord"
"Utility","Advanced Paste ...","Shift+Ctrl+V","In Windows","org.jkiss.dbeaver.core.edit.paste.special"
"Search","File Search","Ctrl+S","In Windows","org.eclipse.search.ui.openFileSearchPage"
"Navigate","Forward History","Alt+Right","In Windows","org.eclipse.ui.navigate.forwardHistory"
"Result Set","Inline edit","Enter","Results viewer context","org.jkiss.dbeaver.core.resultset.row.edit.inline"
"Text Editing","Delete Next Word","Alt+D","Editing Text","org.eclipse.ui.edit.text.deleteNextWord"
"Text Editing","Previous Column","Ctrl+B","Editing Text","org.eclipse.ui.edit.text.goto.columnPrevious"
"Edit","Cut","Ctrl+X","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Text Editing","Line End","Ctrl+E","Editing Text","org.eclipse.ui.edit.text.goto.lineEnd"
"Result Set","Columns width: fit values","Ctrl+L Ctrl+D","Database navigator view context","org.jkiss.dbeaver.core.resultset.grid.columnsFitValue"
"Edit","Find Previous","Shift+F3","In Windows","org.eclipse.ui.edit.findPrevious"
